"auto_id","log_identifer","log_date","log_details"
"32902","바멍","2023-05-02 17:46:13","JANGSU GOTCHA USE 15000 / REMAIN 29480821"
"32903","바멍","2023-05-02 17:46:14","JANGSU GOTCHA USE 15000 / REMAIN 29465821"
"32904","바멍","2023-05-02 17:46:15","JANGSU GOTCHA USE 15000 / REMAIN 29450821"
"32905","바멍","2023-05-02 17:46:17","JANGSU GOTCHA USE 15000 / REMAIN 29435821"
"32906","바멍","2023-05-02 17:46:18","JANGSU GOTCHA USE 15000 / REMAIN 29420821"
"32907","바멍","2023-05-02 17:46:19","JANGSU GOTCHA USE 15000 / REMAIN 29405821"
"32908","바멍","2023-05-02 17:46:21","JANGSU GOTCHA USE 15000 / REMAIN 29390821"
"32909","바멍","2023-05-02 17:46:22","JANGSU GOTCHA USE 15000 / REMAIN 29375821"
"32910","바멍","2023-05-02 17:46:23","JANGSU GOTCHA USE 15000 / REMAIN 29360821"
"32911","바멍","2023-05-02 17:46:24","JANGSU GOTCHA USE 15000 / REMAIN 29345821"
"32912","바멍","2023-05-02 17:46:26","JANGSU GOTCHA USE 15000 / REMAIN 29330821"
"32913","바멍","2023-05-02 17:46:27","JANGSU GOTCHA USE 15000 / REMAIN 29315821"
"32914","바멍","2023-05-02 17:46:28","JANGSU GOTCHA USE 15000 / REMAIN 29300821"
"32915","바멍","2023-05-02 17:46:29","JANGSU GOTCHA USE 15000 / REMAIN 29285821"
"32916","바멍","2023-05-02 17:46:31","JANGSU GOTCHA USE 15000 / REMAIN 29270821"
"32917","바멍","2023-05-02 17:46:32","JANGSU GOTCHA USE 15000 / REMAIN 29255821"
"32918","바멍","2023-05-02 17:46:33","JANGSU GOTCHA USE 15000 / REMAIN 29240821"
"32919","바멍","2023-05-02 17:46:35","JANGSU GOTCHA USE 15000 / REMAIN 29225821"
"32920","바멍","2023-05-02 17:46:36","JANGSU GOTCHA USE 15000 / REMAIN 29210821"
"32921","바멍","2023-05-02 17:46:37","JANGSU GOTCHA USE 15000 / REMAIN 29195821"
"32922","바멍","2023-05-02 17:46:38","JANGSU GOTCHA USE 15000 / REMAIN 29180821"
